# Large City Map for Police Response Simulation
# Format: nodeId1,x1,y1,nodeId2,x2,y2,weight,roadType
# This creates a large city with 10x10 grid (100 nodes) plus additional districts

# Main city grid (nodes 0-99 in 10x10 pattern)
# Row 0 (nodes 0-9)
0,0.0,0.0,1,10.0,0.0,8.5,highway
1,10.0,0.0,2,20.0,0.0,8.5,highway
2,20.0,0.0,3,30.0,0.0,8.5,highway
3,30.0,0.0,4,40.0,0.0,8.5,highway
4,40.0,0.0,5,50.0,0.0,8.5,highway
5,50.0,0.0,6,60.0,0.0,8.5,highway
6,60.0,0.0,7,70.0,0.0,8.5,highway
7,70.0,0.0,8,80.0,0.0,8.5,highway
8,80.0,0.0,9,90.0,0.0,8.5,highway

# Vertical connections for Row 0
0,0.0,0.0,10,0.0,10.0,6.2,street
1,10.0,0.0,11,10.0,10.0,6.2,street
2,20.0,0.0,12,20.0,10.0,6.2,street
3,30.0,0.0,13,30.0,10.0,6.2,street
4,40.0,0.0,14,40.0,10.0,6.2,street
5,50.0,0.0,15,50.0,10.0,6.2,street
6,60.0,0.0,16,60.0,10.0,6.2,street
7,70.0,0.0,17,70.0,10.0,6.2,street
8,80.0,0.0,18,80.0,10.0,6.2,street
9,90.0,0.0,19,90.0,10.0,6.2,street

# Row 1 (nodes 10-19)
10,0.0,10.0,11,10.0,10.0,8.5,highway
11,10.0,10.0,12,20.0,10.0,8.5,highway
12,20.0,10.0,13,30.0,10.0,8.5,highway
13,30.0,10.0,14,40.0,10.0,8.5,highway
14,40.0,10.0,15,50.0,10.0,8.5,highway
15,50.0,10.0,16,60.0,10.0,8.5,highway
16,60.0,10.0,17,70.0,10.0,8.5,highway
17,70.0,10.0,18,80.0,10.0,8.5,highway
18,80.0,10.0,19,90.0,10.0,8.5,highway

# Vertical connections for Row 1
10,0.0,10.0,20,0.0,20.0,6.2,street
11,10.0,10.0,21,10.0,20.0,6.2,street
12,20.0,10.0,22,20.0,20.0,6.2,street
13,30.0,10.0,23,30.0,20.0,6.2,street
14,40.0,10.0,24,40.0,20.0,6.2,street
15,50.0,10.0,25,50.0,20.0,6.2,street
16,60.0,10.0,26,60.0,20.0,6.2,street
17,70.0,10.0,27,70.0,20.0,6.2,street
18,80.0,10.0,28,80.0,20.0,6.2,street
19,90.0,10.0,29,90.0,20.0,6.2,street

# Row 2 (nodes 20-29)
20,0.0,20.0,21,10.0,20.0,8.5,highway
21,10.0,20.0,22,20.0,20.0,8.5,highway
22,20.0,20.0,23,30.0,20.0,8.5,highway
23,30.0,20.0,24,40.0,20.0,8.5,highway
24,40.0,20.0,25,50.0,20.0,8.5,highway
25,50.0,20.0,26,60.0,20.0,8.5,highway
26,60.0,20.0,27,70.0,20.0,8.5,highway
27,70.0,20.0,28,80.0,20.0,8.5,highway
28,80.0,20.0,29,90.0,20.0,8.5,highway

# Vertical connections for Row 2
20,0.0,20.0,30,0.0,30.0,6.2,street
21,10.0,20.0,31,10.0,30.0,6.2,street
22,20.0,20.0,32,20.0,30.0,6.2,street
23,30.0,20.0,33,30.0,30.0,6.2,street
24,40.0,20.0,34,40.0,30.0,6.2,street
25,50.0,20.0,35,50.0,30.0,6.2,street
26,60.0,20.0,36,60.0,30.0,6.2,street
27,70.0,20.0,37,70.0,30.0,6.2,street
28,80.0,20.0,38,80.0,30.0,6.2,street
29,90.0,20.0,39,90.0,30.0,6.2,street

# Row 3 (nodes 30-39)
30,0.0,30.0,31,10.0,30.0,8.5,highway
31,10.0,30.0,32,20.0,30.0,8.5,highway
32,20.0,30.0,33,30.0,30.0,8.5,highway
33,30.0,30.0,34,40.0,30.0,8.5,highway
34,40.0,30.0,35,50.0,30.0,8.5,highway
35,50.0,30.0,36,60.0,30.0,8.5,highway
36,60.0,30.0,37,70.0,30.0,8.5,highway
37,70.0,30.0,38,80.0,30.0,8.5,highway
38,80.0,30.0,39,90.0,30.0,8.5,highway

# Vertical connections for Row 3
30,0.0,30.0,40,0.0,40.0,6.2,street
31,10.0,30.0,41,10.0,40.0,6.2,street
32,20.0,30.0,42,20.0,40.0,6.2,street
33,30.0,30.0,43,30.0,40.0,6.2,street
34,40.0,30.0,44,40.0,40.0,6.2,street
35,50.0,30.0,45,50.0,40.0,6.2,street
36,60.0,30.0,46,60.0,40.0,6.2,street
37,70.0,30.0,47,70.0,40.0,6.2,street
38,80.0,30.0,48,80.0,40.0,6.2,street
39,90.0,30.0,49,90.0,40.0,6.2,street

# Row 4 (nodes 40-49)
40,0.0,40.0,41,10.0,40.0,8.5,highway
41,10.0,40.0,42,20.0,40.0,8.5,highway
42,20.0,40.0,43,30.0,40.0,8.5,highway
43,30.0,40.0,44,40.0,40.0,8.5,highway
44,40.0,40.0,45,50.0,40.0,8.5,highway
45,50.0,40.0,46,60.0,40.0,8.5,highway
46,60.0,40.0,47,70.0,40.0,8.5,highway
47,70.0,40.0,48,80.0,40.0,8.5,highway
48,80.0,40.0,49,90.0,40.0,8.5,highway

# Vertical connections for Row 4
40,0.0,40.0,50,0.0,50.0,6.2,street
41,10.0,40.0,51,10.0,50.0,6.2,street
42,20.0,40.0,52,20.0,50.0,6.2,street
43,30.0,40.0,53,30.0,50.0,6.2,street
44,40.0,40.0,54,40.0,50.0,6.2,street
45,50.0,40.0,55,50.0,50.0,6.2,street
46,60.0,40.0,56,60.0,50.0,6.2,street
47,70.0,40.0,57,70.0,50.0,6.2,street
48,80.0,40.0,58,80.0,50.0,6.2,street
49,90.0,40.0,59,90.0,50.0,6.2,street

# Row 5 (nodes 50-59)
50,0.0,50.0,51,10.0,50.0,8.5,highway
51,10.0,50.0,52,20.0,50.0,8.5,highway
52,20.0,50.0,53,30.0,50.0,8.5,highway
53,30.0,50.0,54,40.0,50.0,8.5,highway
54,40.0,50.0,55,50.0,50.0,8.5,highway
55,50.0,50.0,56,60.0,50.0,8.5,highway
56,60.0,50.0,57,70.0,50.0,8.5,highway
57,70.0,50.0,58,80.0,50.0,8.5,highway
58,80.0,50.0,59,90.0,50.0,8.5,highway

# Vertical connections for Row 5
50,0.0,50.0,60,0.0,60.0,6.2,street
51,10.0,50.0,61,10.0,60.0,6.2,street
52,20.0,50.0,62,20.0,60.0,6.2,street
53,30.0,50.0,63,30.0,60.0,6.2,street
